id_a,id_b,timestamp,x0,x1,x2,std_x0,std_x1,std_x2,trace_P,cross_cov_norm,trace_P_before,eig_min_P,sym_err_P,phi_trace,correction_norm,residual_norm,residual
0,1,1787690724.291547,-0.250000,0.433013,0.000000,0.319183,0.316228,0.319183,0.303755,0.025823,0.303755,0.100000,0.000000,3.000000,0.000000,0.608667,0.465984;-0.119572;-0.372877
0,1,1787690724.591716,-0.250000,0.433013,0.000000,0.319261,0.316228,0.319261,0.303855,0.038750,0.303855,0.100000,0.000000,3.000000,0.000000,0.430404,0.336559;-0.038780;-0.265465
1,3,1787690724.620930,-0.250000,0.433013,0.000000,0.319261,0.316228,0.319261,0.303855,0.247717,0.303855,0.100000,0.000000,3.000000,0.000000,0.062827,-0.061383;-0.013388
0,3,1787690724.624645,-0.250000,0.433013,0.000000,0.319261,0.316228,0.319261,0.303855,0.287408,0.303855,0.100000,0.000000,3.000000,0.000000,0.090514,-0.076770;-0.047950
1,3,1787690724.691304,-0.250000,0.433013,0.000000,0.319324,0.316228,0.319324,0.303935,0.287408,0.303935,0.100000,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690724.791924,-0.250000,0.433013,0.000000,0.319339,0.316228,0.319339,0.303955,0.288333,0.303955,0.100000,0.000000,3.000000,0.000000,0.313433,0.252986;-0.013600;-0.184535
1,3,1787690724.891353,-0.250000,0.433013,0.000000,0.319339,0.316228,0.319339,0.303955,0.288333,0.303955,0.100000,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690725.190812,-0.250000,0.433013,0.000000,0.319464,0.316228,0.319464,0.304115,0.288839,0.304115,0.100000,0.000000,3.000000,0.000000,0.271521,0.214067;-0.001511;-0.167022
0,3,1787690725.291299,-0.250000,0.433013,0.000000,0.319464,0.316228,0.319464,0.304115,0.288839,0.304115,0.100000,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690725.391852,-0.250000,0.433013,0.000000,0.319527,0.316228,0.319527,0.304195,0.288839,0.304195,0.100000,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690725.491393,-0.250000,0.433013,0.000000,0.319543,0.316228,0.319543,0.304215,0.289130,0.304215,0.100000,0.000000,3.000000,0.000000,0.244675,0.192272;0.006586;-0.151175
0,3,1787690725.591335,-0.250000,0.433013,0.000000,0.319558,0.316228,0.319558,0.304235,0.289130,0.304235,0.100000,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690725.991341,-0.250000,0.433013,0.000000,0.319652,0.316228,0.319652,0.304355,0.289130,0.304355,0.100000,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690726.091408,-0.250000,0.433013,0.000000,0.319652,0.316228,0.319652,0.304355,0.289279,0.304355,0.100000,0.000000,3.000000,0.000000,0.208154,0.160208;0.008571;-0.132620
0,3,1787690726.191424,-0.250000,0.433013,0.000000,0.319715,0.316228,0.319715,0.304435,0.289279,0.304435,0.100000,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690726.291391,-0.250000,0.433013,0.000000,0.319715,0.316228,0.319715,0.304435,0.289352,0.304435,0.100000,0.000000,3.000000,0.000000,0.192076,0.146032;0.010991;-0.124285
0,3,1787690726.391880,-0.250000,0.433013,0.000000,0.319777,0.316228,0.319777,0.304515,0.289352,0.304515,0.100000,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
