id_a,id_b,x,y,dtheta,msg_id
0,3,2.7036307667671924,-1.0516590271025705,0.0,0
1,3,1.7675328317306103,-0.4570459096168753,0.0,1
2,3,2.866407816206656,-0.8070211475298428,0.0,2
0,1,1.5218656376468211,0.16917739826404066,-0.37081980965952577,3
0,3,2.5285369470745427,-0.7993587119488463,0.0,4
1,3,1.4631728260131989,-0.28477711214415924,0.0,5
2,3,2.4843730813537745,-0.6238969927472764,0.0,6
0,1,1.5824031658264013,0.17072872461605637,-0.4195010232649223,7
0,3,2.327225010697071,-0.5362484716340254,0.0,8
1,3,1.234163440301483,-0.13530883283776426,0.0,9
2,3,2.3220560211155328,-0.506444976708019,0.0,10
0,1,1.5875727745192012,0.17090257918627694,-0.42561936942926615,11
0,3,2.1147127355267226,-0.30433422245021363,0.0,12
1,3,1.0129808633568582,0.00865286263200442,0.0,13
2,3,2.070816150353914,-0.3611735164782457,0.0,14
0,1,1.5298559159569118,0.1698777745430802,-0.37140635581451825,15
0,3,2.023068690988969,-0.14118808649131762,0.0,16
1,3,0.9047593553859123,0.09723137802025941,0.0,17
2,1,1.5584878944769476,-0.6010546045000106,0.03698756424919838,18
2,3,1.9704198608124788,-0.29697135463119756,0.0,19
0,1,1.5356725243067668,0.16951623330327545,-0.3715879759132035,20
0,3,2.005763296847191,-0.13690329248629698,0.0,21
1,3,0.9044533004488128,0.0973128422873533,0.0,22
2,1,1.530605447904291,-0.5931118498189942,0.015933014806625234,23
2,3,2.0015574948027917,-0.3002916345319195,0.0,24
0,1,1.5195936201169649,0.16882123445204647,-0.3699117230464987,25
0,3,2.013291276853868,-0.1371551318931707,0.0,26
1,3,1.0252625114347733,0.13431759629698423,0.0,27
2,1,1.5385530468457502,-0.5941239320025263,0.018180048261461267,28
2,3,2.116378112267875,-0.2603707923300575,0.0,29
1,3,1.0247724986353521,0.1341137824253661,0.0,30
2,1,1.4827286577886727,-0.5756672237638865,-0.03255550751187011,31
2,3,2.1384567754119885,-0.26221641250924677,0.0,32
0,1,1.5103702732592117,0.16954700611115672,-0.33722002644389626,33
0,3,2.1360993104759847,-0.15302482992859942,0.0,34
1,3,1.0879767583260127,0.13164076213002954,0.0,35
2,1,1.54975385473829,-0.597944017423907,0.01851842011796355,36
2,3,2.235390417793603,-0.255411880662716,0.0,37
0,1,1.5338089334497402,0.17066878248510783,-0.3535771304022404,38
0,3,2.359543669991496,-0.2429598830788374,0.0,39
1,3,1.3792023345009123,0.155368140553847,0.0,40
2,1,1.6389690199809002,-0.49702736270612446,2.3785451524273262,41
2,3,2.549698825885122,-0.2067119761011835,0.0,42
0,1,1.5394900225676846,0.16994790771738122,-0.3802524321411066,43
0,3,2.694612553002033,-0.3294091355981644,0.0,44
1,3,1.68759891302782,0.17702033023563932,0.0,45
2,1,1.5540544959586606,-0.5997827088759208,0.03196950923684464,46
2,3,2.8421649276165617,-0.1904188826098384,0.0,47
0,1,1.5384412673206793,0.16992360361285613,-0.3758229658958965,48
0,3,2.9616027745833686,-0.466700950744093,0.0,49
1,3,1.9578428950097164,0.1509619696767841,0.0,50
2,1,1.6471300624341827,-0.6329567302017216,0.05587571134371368,51
2,3,3.1239417992309497,-0.1880841028197619,0.0,52
0,1,1.5306801584809726,0.16960725215274017,-0.35878542718305806,53
0,3,3.1230816869124256,-0.5259156886325312,0.0,54
1,3,2.07562905950984,0.16217940331453815,0.0,55
2,1,1.6376102298879125,-0.629521836615843,0.054149480773869406,56
2,3,3.1216829147814233,-0.1830237987816381,0.0,57
0,1,1.5236768825521543,0.1691456367638649,-0.35340311622265663,58
0,3,3.1176554737801347,-0.5261727070931456,0.0,59
1,3,2.0708229122381634,0.16113718619021927,0.0,60
2,1,1.5314776314063907,-0.5914636296825764,0.03734828122849127,61
2,3,3.1998834491912986,-0.18712815189773896,0.0,62
0,1,1.559610164631568,0.17095476780926455,-0.3776723100963038,63
0,3,3.145422097291954,-0.5342327098033058,0.0,64
1,3,2.0462008437711496,0.13998275668713045,0.0,65
2,3,3.168891023806815,-0.21356634824751083,0.0,66
0,1,1.5077141030660326,0.16965289570497355,-0.33176549630128005,67
0,3,3.1662004582268723,-0.6255137755121548,0.0,68
1,3,2.1107206514076062,0.005842588326313011,0.0,69
2,3,3.2578403004063334,-0.3673718719064389,0.0,70
0,1,1.5370980765368059,0.1693031813189561,-0.36630461756661326,71
0,3,3.06980218819857,-0.7847418040245329,0.0,72
1,3,2.1743769408870492,-0.18655822985551287,0.0,73
2,1,1.5107531773187606,-0.5844848993708396,0.004346633224269374,74
2,3,3.313791049702148,-0.5662716485510702,0.0,75
0,1,1.545243723195927,0.17138350216417925,-0.3701880632988371,76
0,3,3.0409717680964534,-1.0455649008719516,0.0,77
1,3,2.181064593640758,-0.4357020277554263,0.0,78
2,3,3.2146821362362425,-0.789874818633514,0.0,79
0,1,1.5430522300603686,0.16962300328927038,-0.38645168394482315,80
0,3,2.9953500640773885,-1.2434147251216292,0.0,81
1,3,2.1668858283405834,-0.6402043929136118,0.0,82
2,1,1.510369401745461,-0.5844729239571437,0.0024614499591924808,83
2,3,3.254399372410609,-1.0114086377913818,0.0,84
