id_a,id_b,x,y,dtheta
<<<<<<< HEAD
=======
0,1,1.098570528698014,0.5052353035435609,-0.012034850108100962
0,3,2.8656555177935017,0.5809051016221269,0.0
0,1,1.0820256108080035,0.5001767835064286,0.02153017575433176
0,3,2.8437400205600682,0.5683812910945778,0.0
0,1,1.124169811582101,0.3825192432488869,-2.320087643503775
0,3,2.904377148470109,0.5873215681506216,0.0
0,1,1.0667614778689434,0.49262129537420807,0.011524150093319216
0,3,2.8923499977037097,0.5829672909946335,0.0
0,3,2.8820321002562883,0.5814136573591353,0.0
0,3,2.8973719685389043,0.5841038926774572,0.0
0,1,1.0932842737445339,0.5059674304369999,0.022682976176909616
0,3,2.9293143224248244,0.58960928862618,0.0
0,3,2.822153166584854,0.5682953816483931,0.0
0,1,1.0613600462694497,0.49003639858995485,0.02033814781430871
0,3,2.9205034108774677,0.5889714857053957,0.0
0,1,1.1028309074228637,0.508275591959285,-0.008199352353257883
0,3,2.878641174956271,0.5788299968824879,0.0
0,3,2.8878204322138776,0.5806889799597488,0.0
0,3,2.8920375579513915,0.5826337921860083,0.0
0,3,2.8687514029886927,0.5806010601837546,0.0
0,3,2.844487606996617,0.5683111457945267,0.0
0,3,2.916796405487681,0.588347897398253,0.0
0,3,2.889208359748171,0.5792696273260151,0.0
0,1,1.0646016103911382,0.49293188871830307,0.0344899603726003
0,3,2.922924048846231,0.5901713390811911,0.0
0,1,1.1011689872387926,0.5078969369967716,0.008671169814669576
0,3,2.841455475674772,0.5742413533476886,0.0
0,3,2.8823513299407293,0.5809643957849897,0.0
0,3,2.89730064685072,0.5821147803647616,0.0
0,3,2.8253296042623393,0.5719096631873127,0.0
0,3,2.843168324726258,0.5693586550017499,0.0
0,3,2.908796392751131,0.5869360128933876,0.0
0,3,2.832285493184217,0.5682294852378488,0.0
0,3,2.8300754297228607,0.5662755739539143,0.0
0,1,1.0768551443421681,0.4974804971109003,0.021101245628514325
0,3,2.865454138536839,0.5796395012127812,0.0
0,1,1.0784341813475558,0.49683502501207105,-0.0017890917050045094
0,3,2.893967452121095,0.5817537754328713,0.0
0,1,1.075483866597002,0.35988105120455377,-2.342613103832794
0,3,2.8382830409051016,0.5683518238854884,0.0
0,3,2.9564581893747435,0.5957910078218265,0.0
0,1,1.0853538204972346,0.5012149015174355,0.018885627519555085
0,3,2.8697946881419725,0.5804310515980339,0.0
0,3,2.8477862740707964,0.5762914425362207,0.0
0,3,2.864285316792996,0.5736908362825296,0.0
0,3,2.8964067023253914,0.5840303167900801,0.0
0,3,2.8392096693868005,0.568831449459511,0.0
0,1,1.106877219675985,0.37468518133840106,-2.3261429458230864
0,3,2.916105878088533,0.5880141519910453,0.0
0,3,2.8426825728063543,0.576217311882862,0.0
0,3,2.8996950799498813,0.5817774873359869,0.0
0,3,2.8554023192377627,0.5742391192787588,0.0
0,1,1.0787047431649637,0.4989312199531851,0.02753135799265246
0,3,2.890484058914467,0.582709282031053,0.0
0,3,2.9138097820898317,0.5873277528009514,0.0
0,1,1.1405828635522617,0.38848916540344747,-2.3204964318280084
0,3,2.879260648833952,0.5781199127659942,0.0
0,1,1.0756325083627918,0.3604109762646258,-2.3220512885378795
0,3,2.9058090680551008,0.583588095789907,0.0
0,3,2.8920438591685276,0.5818581529136979,0.0
0,3,2.8532741130292876,0.5762850062130541,0.0
0,3,2.939262237131598,0.5903822578997234,0.0
0,3,2.886992376830934,0.5809117322471317,0.0
0,3,2.917157592553577,0.5887696515727968,0.0
0,3,2.8917158628173443,0.5815419038842122,0.0
0,1,1.0977902280188558,0.5064015946501388,0.010028804932877193
0,3,2.8913752109384183,0.5799506451637305,0.0
0,1,1.0713443175239654,0.4963865839968754,0.039153606780255916
0,3,2.8062445875590605,0.5663783615508707,0.0
0,3,2.8978479825619954,0.5841451493957277,0.0
0,1,1.0760730192288488,0.36009024831589403,-2.3328932845061385
0,3,2.8795561476122287,0.580969885965572,0.0
0,1,1.0692802924792797,0.4951567119634733,0.043191822598008536
0,3,2.8515205027629142,0.5710417840450583,0.0
0,1,1.0751600310427532,0.4970156578109689,0.021016321072552788
0,3,2.8973189978987537,0.5841814920757677,0.0
0,3,2.8301950396560343,0.571278451506563,0.0
0,3,2.864081348523652,0.5730156727078822,0.0
0,3,2.9145241148085,0.5869908979945078,0.0
0,1,1.0888544707736494,0.5015316471497655,0.001836448332456229
0,3,2.910028590754125,0.5882891130705222,0.0
0,1,1.0621398600449634,0.49251294069361007,0.04174169779675506
0,3,2.8708741904102744,0.5772928513528066,0.0
0,1,1.0701843712379722,0.4965210602593986,0.04380820957813833
2,1,1.126640919480852,-0.3577333487394675,-0.07123448305349292
2,3,2.9136843750210932,-0.305549581292711,0.0
2,1,1.1210606327134565,-0.35706120224960364,-0.07694601744494262
2,3,2.9264058636377106,-0.30675335205580667,0.0
0,3,2.820430949526707,0.5691668692305462,0.0
2,1,1.1238920473342255,-0.35304453002029007,-0.05044920155339581
2,3,2.9988519192494136,-0.31706389703607657,0.0
0,1,1.0744129124925195,0.49699284071895894,0.03942363195722493
0,3,2.8982885917332717,0.5832099198821938,0.0
1,3,1.7960442585218288,0.08036795250400734,0.0
0,1,1.0842324518087147,0.5007210558295488,0.019117337258356636
0,3,2.9023142259174715,0.5851614294787686,0.0
2,1,1.1061473523431922,-0.3368148447135506,0.021704495121215715
2,3,2.966908831248474,-0.30969492976002916,0.0
2,1,1.1147219126512362,-0.3404468502218069,0.003929683040833512
2,3,2.952510557115093,-0.3103738852134441,0.0
2,1,1.119982222532387,-0.33527807028303014,0.060756438951081106
2,3,2.960942442741481,-0.31087959377399943,0.0
0,3,2.8778925211194504,0.5791356403754705,0.0
0,1,1.0810059910094971,0.4991531456548557,0.015571300919925798
0,3,2.902917167251155,0.5828929730868211,0.0
0,1,1.0737652033139475,0.4966488726506934,0.040602359102274894
0,3,2.8904997810210524,0.5810061757411877,0.0
2,1,1.1374382589028378,-0.37631264870032377,-0.1547501760087979
2,3,2.9609452299894663,-0.3139027036647934,0.0
0,1,1.03695085814387,0.48099592656324824,0.047523722845070115
2,1,1.1234702855650465,-0.35803559612197555,-0.07819473583344481
2,3,2.9484720313128197,-0.31060477491574956,0.0
2,1,1.127077087674467,-0.356222288016019,-0.05782716349208782
2,3,2.9818361882546,-0.3154063391555327,0.0
0,3,2.9051170698061606,0.5864986619345932,0.0
0,1,1.102928376366665,0.5070006930055101,-0.02105253388844096
0,3,2.8932636701535235,0.582097507775749,0.0
1,3,1.7992030821247322,0.08159921616041724,0.0
1,3,1.7994180974145626,0.08160936684200085,0.0
1,3,1.798382659889885,0.08144108777847144,0.0
1,3,1.8020780456278926,0.08139187259866279,0.0
1,3,1.7980758713166325,0.08148123068192983,0.0
1,3,1.8009335913872828,0.08064210432580446,0.0
1,3,1.8002310769822358,0.08050179272245889,0.0
2,1,1.1215875960754929,-0.3412172796440396,0.020597520501031016
2,3,2.9464169033238945,-0.3099746733076953,0.0
0,1,1.073783803210997,0.49640020625831804,0.0218255663785668
0,3,2.8927477307892766,0.5807580801859865,0.0
0,1,1.0930873511107757,0.5041954225191937,0.026283167123572003
0,3,2.852854665799971,0.5774288101684371,0.0
