id_a,id_b,timestamp,x0,x1,x2,std_x0,std_x1,std_x2,trace_P,cross_cov_norm,trace_P_before,eig_min_P,sym_err_P,phi_trace,correction_norm,residual_norm,residual
0,1,1787690728.890408,-0.395435,-0.453688,0.165239,0.247152,0.256102,0.214491,0.172679,0.289117,0.174248,0.033570,0.000000,3.000000,0.002626,0.113336,0.088364;0.012585;-0.069846
0,3,1787690729.190878,-0.395435,-0.453688,0.165239,0.247309,0.256106,0.214678,0.172839,0.289117,0.172839,0.033630,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690729.291721,-0.395435,-0.453688,0.165239,0.247329,0.256106,0.214701,0.172859,0.289117,0.172859,0.033638,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690729.391764,-0.395435,-0.453688,0.165239,0.247329,0.256106,0.214701,0.172859,0.289117,0.172859,0.033638,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690729.590751,-0.396662,-0.454463,0.166185,0.246415,0.255484,0.213433,0.171546,0.289042,0.172939,0.033069,0.000000,3.000000,0.001733,0.078489,0.063230;0.007454;-0.045900
1,3,1787690729.691486,-0.396662,-0.454463,0.166185,0.246493,0.255486,0.213526,0.171625,0.289042,0.171625,0.033099,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690729.890953,-0.397926,-0.455342,0.167251,0.245684,0.254936,0.212400,0.170467,0.288970,0.171705,0.032599,0.000000,3.000000,0.001872,0.090750,0.070098;0.009839;-0.056789
0,3,1787690729.990685,-0.397926,-0.455342,0.167251,0.245684,0.254936,0.212400,0.170467,0.288970,0.170467,0.032599,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690730.091290,-0.397926,-0.455342,0.167251,0.245764,0.254938,0.212494,0.170547,0.288970,0.170547,0.032629,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690730.189482,-0.397926,-0.455342,0.167251,0.245783,0.254938,0.212517,0.170567,0.288970,0.170567,0.032636,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690730.289575,-0.397022,-0.456678,0.165159,0.244987,0.254448,0.211419,0.169460,0.288899,0.170567,0.032164,0.000000,3.000000,0.002642,0.129297,-0.044682;0.120537;0.013851
0,3,1787690730.391319,-0.397022,-0.456678,0.165159,0.245067,0.254450,0.211513,0.169540,0.288899,0.169540,0.032194,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690730.491333,-0.397022,-0.456678,0.165159,0.245067,0.254450,0.211513,0.169540,0.288899,0.169540,0.032194,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690730.591229,-0.397022,-0.456678,0.165159,0.245146,0.254452,0.211608,0.169620,0.288899,0.169620,0.032224,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690730.690513,-0.394292,-0.457946,0.160368,0.244427,0.254007,0.210620,0.168624,0.288849,0.169620,0.031802,0.000000,3.000000,0.005657,0.275767,-0.156962;0.202810;0.101384
0,3,1787690730.789229,-0.394292,-0.457946,0.160368,0.244506,0.254009,0.210714,0.168704,0.288849,0.168704,0.031832,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
